"","Type","Subpopulation","Indicator","nResp","Estimate","StdError","MarginofError","LCB95Pct","UCB95Pct"
"1","SITE_BASIN","1","MMDH_BIO_ASMT_PROFILE_SCORE",28,6.06793034620368,0.218017717013041,0.427306873337206,5.64062347286647,6.49523721954089
"2","SITE_BASIN","2","MMDH_BIO_ASMT_PROFILE_SCORE",22,6.70918159073037,0.293145828807295,0.574555266680442,6.13462632404993,7.28373685741082
"3","SITE_BASIN","3","MMDH_BIO_ASMT_PROFILE_SCORE",11,7.23419063533255,0.285152030072059,0.558887709059718,6.67530292627283,7.79307834439227
"4","SITE_BASIN","4","MMDH_BIO_ASMT_PROFILE_SCORE",25,6.05736286046792,0.280670457502166,0.550103988228624,5.5072588722393,6.60746684869654
"5","SITE_BASIN","5","MMDH_BIO_ASMT_PROFILE_SCORE",22,7.11248085439912,0.174518518702317,0.342050011291821,6.7704308431073,7.45453086569094
"6","SITE_BASIN","6","MMDH_BIO_ASMT_PROFILE_SCORE",63,7.23472715739128,0.16884170155045,0.330923654127343,6.90380350326394,7.56565081151862
"7","SITE_BASIN","7","MMDH_BIO_ASMT_PROFILE_SCORE",24,6.42010077835079,0.378566911405832,0.741977512093996,5.6781232662568,7.16207829044479
"8","SITE_BASIN","8","MMDH_BIO_ASMT_PROFILE_SCORE",27,7.13241543446003,0.393974745289297,0.772176311585363,6.36023912287467,7.9045917460454
"9","SITE_BASIN","9","MMDH_BIO_ASMT_PROFILE_SCORE",25,6.56071453027797,0.334669395422049,0.655939961755011,5.90477456852296,7.21665449203298
"10","SITE_BASIN","10","MMDH_BIO_ASMT_PROFILE_SCORE",50,6.9384467947142,0.273360865708892,0.535777451572118,6.40266934314208,7.47422424628632
"11","SITE_BASIN","11","MMDH_BIO_ASMT_PROFILE_SCORE",14,7.0823379837101,0.286316324478748,0.56116968416423,6.52116829954587,7.64350766787433
"12","SITE_BASIN","12","MMDH_BIO_ASMT_PROFILE_SCORE",21,7.22279682588804,0.203716967420479,0.399277919183858,6.82351890670419,7.6220747450719
"13","SITE_BASIN","13","MMDH_BIO_ASMT_PROFILE_SCORE",40,6.1360251278491,0.328343057182733,0.643540566651931,5.49248456119717,6.77956569450103
"14","SITE_BASIN","14","MMDH_BIO_ASMT_PROFILE_SCORE",21,7.80301901672958,0.163323447694799,0.320108075312718,7.48291094141686,8.1231270920423
"15","SITE_BASIN","15","MMDH_BIO_ASMT_PROFILE_SCORE",1,2.85,0,0,2.85,2.85
"16","SITE_BASIN","17","MMDH_BIO_ASMT_PROFILE_SCORE",18,4.78135701478684,0.528143747557585,1.03514272387288,3.74621429091396,5.81649973865972
